shipment_id,origin_city,destination_city,carrier,weight_kg,status,ship_date,estimated_delivery,actual_delivery,shipping_cost,customer_id
SH00001,Phoenix,Denver,UPS,7.41,Shipped,2026-08-21,2026-08-23,,339.97,CUST9935
SH00002,Los Angeles,Denver,UPS,25.52,Shipped,2026-08-03,2026-08-09,2026-08-08,282.82,CUST9928
SH00003,New York,Miami,BlueDart,21.42,Delivered,2026-08-14,2026-08-17,2026-08-18,81.96,CUST6514
SH00004,Philadelphia,Minneapolis,DHL,40.45,Returned,2026-08-04,2026-08-06,2026-08-07,232.42,CUST3045
SH00005,Philadelphia,Minneapolis,UPS,35.38,Shipped,2026-08-13,2026-08-15,2026-08-18,332.33,CUST5741
SH00006,Phoenix,Las Vegas,BlueDart,41.79,In Transit,2026-08-03,2026-08-06,2026-08-08,188.24,CUST4432
SH00007,San Jose,Miami,Cyntexa Express,36.59,In Transit,2026-08-09,2026-08-16,2026-08-15,233.82,CUST5422
SH00008,New York,Denver,Amazon Logistics,2.09,Delivered,2026-08-21,2026-08-28,2026-08-29,203.58,CUST2084
SH00009,Houston,Las Vegas,USPS,44.29,Returned,2026-08-07,2026-08-13,2026-08-14,232.13,CUST5339
SH00010,Phoenix,Minneapolis,USPS,44.94,Out for Delivery,2026-08-05,2026-08-08,2026-08-11,184.19,CUST3266
SH00011,New York,Boston,UPS,31.56,Cancelled,2026-08-17,2026-08-22,,341.84,CUST2040
SH00012,Dallas,Atlanta,Cyntexa Express,43.11,Shipped,2026-08-13,2026-08-18,2026-08-20,341.74,CUST2876
SH00013,Los Angeles,Atlanta,USPS,8.33,Shipped,2026-08-18,2026-08-22,2026-08-23,477.14,CUST5315
SH00014,Phoenix,Nashville,Cyntexa Express,10.35,Delivered,2026-08-17,2026-08-20,2026-08-19,382.44,CUST9837
SH00015,New York,Boston,DHL,44.0,Cancelled,2026-08-17,2026-08-19,2026-08-21,404.35,CUST4923
SH00016,Los Angeles,Las Vegas,Amazon Logistics,3.93,Cancelled,2026-08-02,2026-08-05,2026-08-04,268.69,CUST3060
SH00017,Chicago,Atlanta,Cyntexa Express,43.69,Out for Delivery,2026-08-05,2026-08-12,2026-08-15,482.36,CUST9835
SH00018,San Diego,Nashville,USPS,6.49,In Transit,2026-08-07,2026-08-14,2026-08-15,36.69,CUST1344
SH00019,Houston,Seattle,FedEx,35.54,Shipped,2026-08-19,2026-08-25,,118.33,CUST1514
SH00020,San Diego,Denver,Cyntexa Express,7.05,Pending,2026-08-11,2026-08-13,2026-08-14,290.22,CUST4981
SH00021,Los Angeles,Portland,DHL,21.47,Out for Delivery,2026-08-16,2026-08-21,,432.6,CUST1887
