order_id,product_name,dirty_price,dirty_date,quantity,customer_country
ORD-5000,Laptop,$1908,19/03/2024,5,USA
ORD-5001,Laptop,$817.15,"March 05, 2024",3,France
ORD-5002,Keyboard,£ 2323.46,28-Feb-2024,5,Germany
ORD-5003,Mouse,$154.23,"April 21, 2024",3,Canada
ORD-5004,Mouse,$1832,,3,Germany
ORD-5005,Mouse,,07/07/2024,1,France
ORD-5006,Laptop,"€1,193.45",,2,Germany
ORD-5007,Headphones, 1323.91,03-24-2024,3,France
ORD-5008,Laptop,,25-Feb-2024,5,Germany
ORD-5009,Headphones,786.17,01-14-2024,5,UK
ORD-5010,Monitor,2250.04,2024/10/21,3,France
ORD-5011,Laptop,$627.28,"July 11, 2024",5,France
ORD-5012,Laptop,€62,2024-04-11,1,USA
ORD-5013,Laptop,,2024-05-04,5,UK
ORD-5014,Mouse,€1581.45,,1,France
ORD-5015,Mouse,£2264.5,,3,Canada
ORD-5016,Headphones,,,3,Germany
ORD-5017,Headphones,,01-22-2024,3,Canada
ORD-5018,Laptop, 2339.43,"September 29, 2024",1,Germany
ORD-5019,Headphones, 1963.7,2024-07-08,5,Germany
ORD-5020,Mouse,244.87,2024/09/16,1,USA
ORD-5021,Headphones,,2024-06-23,5,France
ORD-5022,Monitor,$144.89,,5,Germany
ORD-5023,Mouse,£1012.53,2024-09-07,1,USA
ORD-5024,Monitor,€629,08-09-2024,2,Canada
ORD-5025,Headphones, 1127.05,2024/08/23,3,USA
ORD-5026,Keyboard,€703.58,"March 19, 2024",5,Canada
ORD-5027,Laptop,$1113.4,2024/03/31,5,France
ORD-5028,Mouse,$1633.84,2024/09/24,1,Germany
ORD-5029,Monitor,€ 2316.65,18-May-2024,2,UK
ORD-5030,Keyboard, 1021.97,,3,Canada
ORD-5031,Keyboard,$ 2162.98,"September 04, 2024",2,Germany
ORD-5032,Mouse,953.64,,3,UK
ORD-5033,Mouse,"2,317.03",05-17-2024,5,UK
ORD-5034,Keyboard, 1063.29,,5,Canada
ORD-5035,Laptop,€482.85,02-14-2024,1,Germany
ORD-5036,Laptop,,18/08/2024,1,UK
ORD-5037,Monitor,$790,25-Aug-2024,2,USA
ORD-5038,Laptop,€1197.2,07-13-2024,2,USA
ORD-5039,Keyboard,$ 2402.34,"January 15, 2024",3,Germany
ORD-5040,Keyboard,,15/06/2024,1,France
ORD-5041,Headphones,2155.93,06/09/2024,5,USA
ORD-5042,Keyboard,€2354,,1,Canada
ORD-5043,Laptop,1490.35,05-12-2024,2,Germany
ORD-5044,Monitor,"£1,646.86",23-May-2024,1,UK
ORD-5045,Headphones,£ 518.61,21-May-2024,5,USA
ORD-5046,Laptop,,06-Jan-2024,1,Germany
ORD-5047,Monitor,"1,617.30",2024-04-07,2,Germany
